food	SL	BD
Fed	9.237	1.706
Fed	9.267	1.730
Fed	9.500	1.895
Fed	9.291	1.811
Fed	9.291	1.814
Fed	12.296	2.680
Fed	12.575	2.585
Fed	12.296	2.388
Fed	12.707	2.495
Fed	11.329	2.328
Fed	12.659	2.489
Fed	9.842	2.148
Fed	10.237	1.981
Fed	8.818	1.791
Fed	8.500	1.707
Fed	10.105	2.129
Fed	11.344	2.530
Fed	8.053	1.454
Fed	8.474	1.621
Fed	9.503	2.105
Fed	10.422	2.127
Fed	9.212	1.961
Fed	10.848	2.425
Fed	8.369	1.537
Fed	10.925	2.316
Fed	12.448	2.674
Unfed	11.934	2.427
Unfed	10.482	2.164
Unfed	10.605	1.907
Unfed	10.604	1.903
Unfed	13.024	2.811
Unfed	12.215	2.390
Unfed	12.660	2.324
Unfed	12.984	2.419
Unfed	11.047	1.875
Unfed	11.853	2.259
Unfed	11.531	2.296
Unfed	12.136	2.390
Unfed	11.651	2.196
Unfed	11.167	2.032
Unfed	12.216	2.358
Unfed	12.054	2.229
Unfed	12.821	2.290
Unfed	12.581	2.194
Unfed	11.653	1.969
Unfed	12.342	2.196
Unfed	11.540	2.103
Unfed	13.638	2.583
Unfed	11.168	1.872
Unfed	11.490	2.003
Unfed	11.651	1.907
Unfed	11.697	2.097
