# Box10_6.txt
#
Lernaea	TL	WT
with	29	0.21
with	29	0.187
with	34	0.286
with	35	0.356
with	38	0.42
with	38	0.46
with	39	0.448
with	39	0.252
with	40	0.514
with	42	0.555
with	43	0.412
with	44	0.589
with	44	0.664
with	45	0.739
with	45	0.646
with	46	0.707
with	46	0.656
with	47	0.81
with	48	0.813
with	48	0.697
with	48	0.624
with	49	0.962
with	49	0.778
with	51	1.136
with	52	1.216
with	53	0.903
with	53	1.388
with	55	0.996
with	56	1.065
with	60	1.081
without	29	0.175
without	31	0.254
without	31	0.228
without	31	0.201
without	31	0.219
without	32	0.269
without	33	0.278
without	35	0.356
without	36	0.356
without	39	0.478
without	39	0.505
without	40	0.505
without	40	0.604
without	41	0.535
without	43	0.61
without	45	0.654
without	45	0.71
without	46	0.757
without	46	0.828
without	47	0.788
without	47	0.833
without	48	0.94
without	49	0.986
without	51	1.097
without	51	1.105
without	51	1.063
without	52	1.158
without	52	1.273
without	57	1.573
without	60	1.686
