LMB.len	PREY.len
68	23.19943
68	17.93134
45	15.17635
54	23.66978
86	25.42087
97	27.49987
119	36.0793
87	36.37874
59	32.69833
68	11.7403
91	32.69747
70	40.77622
77	17.25266
69	22.86286969
64	15.73299276
64	12.08453
38	12.88003754
68	19.28548362
38	10.42804629
51	20.60905151
64	18.79315634
88	14.09688954
70	16.32223054
84	24.57082596
91	32
74	14.90225714
75	20.26684286
92	32
83	28.57142857
97.5	30.49803385
107	33
30	20.3125
34	25.909125
33	22.86484375
37	21.99895313
89	34.6061875
127	44.422625
111	59.38878125
74	44.96793627
63	25.2007739
98	37.69487102
35	13.19176
39	11.99859
115	90.14100826
96	36.05751998
100	36.80616131
97	47.71717
66	18.22912
113	28.94394
77	34
113	16.76852
106	40.625
77	40.83496
