scenario	site.char	coord1	coord2
A	fish.present	1	1
A	fish.present	2	2
A	fish.present	3	1
A	fish.present	4	2
A	fish.present	5	1
A	fish.present	8	4
A	fish.present	9	3
A	fish.present	9	4
A	fish.present	10	3
A	fish.present	10	4
A	fish.present	16	1
A	fish.present	17	1
A	fish.present	17	2
A	fish.present	18	2
A	fish.present	8	3
A	vegetation.present	1	2
A	vegetation.present	2	1
A	vegetation.present	2	2
A	vegetation.present	3	2
A	vegetation.present	7	3
A	vegetation.present	8	4
A	vegetation.present	9	4
A	vegetation.present	10	1
A	vegetation.present	10	3
A	vegetation.present	10	4
A	vegetation.present	11	3
A	vegetation.present	11	4
A	vegetation.present	16	1
A	vegetation.present	17	2
A	vegetation.present	18	2
B	fish.present	14	4
B	fish.present	15	3
B	fish.present	15	4
B	fish.present	16	3
B	fish.present	16	4
B	fish.present	17	3
B	fish.present	17	4
B	fish.present	18	2
B	fish.present	18	3
B	fish.present	18	4
B	fish.present	19	2
B	fish.present	19	3
B	fish.present	19	4
B	fish.present	20	3
B	fish.present	20	4
B	vegetation.present	1	2
B	vegetation.present	2	1
B	vegetation.present	2	2
B	vegetation.present	3	2
B	vegetation.present	7	3
B	vegetation.present	8	4
B	vegetation.present	9	4
B	vegetation.present	10	1
B	vegetation.present	10	3
B	vegetation.present	10	4
B	vegetation.present	11	3
B	vegetation.present	11	4
B	vegetation.present	16	1
B	vegetation.present	17	2
B	vegetation.present	18	2
