wt	temp	Cmax
56.85	2.04	0
41.55	2.16	0.00175
52.4	2.21	0.0095
27.85	2.25	0
29.3	2.26	0.007675
49.95	2.35	0
37.4	2.38	0.00325
55.7	2.43	0.0018
51.35	2.46	0
54.8	2.46	0.00825
43.05	2.76	0.00225
29.95	2.83	0.0075
49.05	3.05	0.01125
47.2	3.11	0
37.6	3.29	0.01125
52.1	3.36	0.0085
52.74	6.2	0.00175
54.6	6.2	0.01825
53.7	6.3	0.01975
50.8	6.35	0.0185
408	6.35	0.0124
52.35	6.4	0.02275
56.9	6.4	0.00475
57.4	6.4	0
423	6.42	0.0231
40.8	6.45	0.01625
28.4	6.5	0.011
398	6.55	0.0251
31	6.56	0.0385
1251	6.67	0.0196
47.9	6.7	0.00675
331.2	6.79	0.0129
365.8	6.79	0.01478
366.6	6.79	0.0172
31	6.9	0.0315
37.1	6.9	0.007
51.1	7	0.013
1248	7.14	0.0263
1347	7.18	0.018
41.98	7.2	0.02175
37.7	7.25	0.034
2010.25	7.39	0.02195
850	7.48	0.0113
725	7.52	0.0054
247	7.8	0.0275
547	7.88	0.0169
610	8.08	0.0136
208	8.34	0.0108
32.24	12.7	0.07475
941	12.72	0.05686
51.83	12.8	0.03525
28.76	12.9	0.03975
45.57	12.9	0.0555
2222	12.9	0.03467
2727.5	12.92	0.03086
33.83	12.95	0.079375
50.92	13	0.05675
453	13.02	0.04716
28.64	13.1	0.03525
36.04	13.1	0.046
36.045	13.1	0.0885
56.34	13.1	0.04075
52.91	13.3	0.05275
45.605	13.4	0.095
48.84	13.4	0.043
28.27	13.5	0.0785
49.695	13.8	0.05475
51.09	14	0.0365
356.57	14.1	0.051
380.65	14.1	0.062
427.75	14.16	0.0482
1211.4	14.225	0.03895
809.45	14.32	0.03905
368.22	14.45	0.059
2137.95	14.54	0.041
367.27	16.69	0.0565
383.68	16.69	0.0611
388.4	16.69	0.0699
2048.3	16.69	0.03357
45.2	17.58	0.0899
54.1	17.59	0.07
41.35	17.63	0.064375
53.75	17.63	0.0855
40.15	17.64	0.0849
56.85	17.65	0.10675
51.85	17.71	0.1055
56.2	17.73	0.06765
39.1	17.76	0.09025
43.15	17.8	0.05625
33.9	17.83	0.0955
52.6	17.84	0.09325
2678.25	17.9	0.0388
53.4	18.06	0.09075
51.1	18.11	0.075625
50	18.15	0.10375
59.65	18.28	0.0885
725.125	18.65	0.068
450.55	18.84	0.066
1271.3	18.89	0.066
20.79	21.6	0.1
461	21.71	0.057
1234	21.74	0.035
661.7	21.75	0.049
156.67	21.84	0.0754
10.395	22.01	0.153
14.575	22.01	0.169
14.72	22.01	0.198
14.95	22.01	0.166
17.38	22.01	0.132
59.8	22.3	0.158
62.11	22.3	0.182
131	22.3	0.081
14.83	22.5	0.13
20.115	22.5	0.131
24.345	22.5	0.133
24.52	22.5	0.096
29.535	22.5	0.063
30.645	22.5	0.108
21.81	22.8	0.076
22.86	22.8	0.093
23.14	22.8	0.076
24.96	22.8	0.129
26.77	22.8	0.071
20.58	23	0.103
21.795	23	0.123
22.125	23	0.116
22.27	23	0.12
23.335	23	0.087
32.93	23	0.117
1555	24.66	0.0391
496	25.36	0.0579
960.5	25.65	0.03724
927	25.68	0.05446
2741.8	25.71	0.0419
76.18	25.82	0.0441
189.05	25.82	0.0932
413.15	25.93	0.0404
31.525	26.6	0.04775
32.195	26.6	0.07025
35.52	26.6	0.07925
35.6	26.6	0.0665
39.175	26.6	0.053
39.48	26.6	0.0755
19.655	27.2	0.09275
22.555	27.2	0.05975
25.53	27.2	0.04425
27.045	27.2	0.0595
29.615	27.2	0.09225
32.525	27.2	0.1355
1818	28.56	0.0727
233.17	28.71	0.0767
413.84	28.75	0.0755
921.83	29.03	0.0387
30.37	29.35	0.0435
27.625	29.6	0.10325
29.26	29.6	0.100125
30.16	29.6	0.06
31.77	29.6	0.1405
32.215	29.6	0.046666
32.44	29.6	0.043666
35.04	29.6	0.082666
36.085	29.6	0.075125
43.56	29.6	0.115
53.36	29.6375	0.09225
33.11	29.875	0.049
28.01	30	0.109
32.065	30	0.071
52.085	30.2	0.04475
25.54	30.4	0.0645
28.665	30.4	0.053
