Species	SpecCode	Station1	Station2	Station3	Station4	Station5	Station6
Longnose_gar	LOG	6	7	0	4	26	5
Gizzard_shad	GZS	164	90	6	6	432	194
Bluntnose_minnow	BLM	42	33	29	3	44	35
Bullhead_minnow	BUM	0	0	0	1	15	0
Common_carp	CAP	13	58	10	14	36	13
Hornyhead_chub	HOC	0	0	0	0	7	0
Mimic_shiner	MIS	10	11	10	0	2	0
Redfin_shiner	RDS	0	22	4	0	0	2
Rosyface_shiner	RYS	8	89	5	15	8	35
Sand_shiner	SAS	1	22	4	1	5	1
Spotfin_shiner	SFS	19	24	3	2	23	8
Striped_shiner	STS	45	32	69	14	51	14
Suckermouth_minnow	SUM	0	0	0	0	4	1
Black_redhorse	BLR	0	0	4	0	1	0
Golden_redhorse	GOR	34	0	35	36	9	55
Northern_hog_sucker	NHS	5	2	10	7	2	7
Shorthead_redhorse	SHR	35	0	8	2	35	22
Quillback	QLL	5	2	1	4	17	14
River_redhorse	RVR	2	0	2	0	0	5
Silver_redhorse	SVR	8	1	1	3	14	4
Smallmouth_buffalo	SAB	0	3	0	0	3	0
Brook_silverside	BKS	4	10	13	9	10	6
Bluegill	BLG	2	0	0	2	1	0
Green_sunfish	GSF	1	42	6	3	7	1
Largemouth_bass	LMB	0	3	2	0	8	0
Longear_sunfish	LOS	35	94	26	39	48	37
Orangespotted_sunfish	OSF	1	0	0	8	31	3
Rock_bass	ROB	30	3	15	31	27	62
Smallmouth_bass	SMB	143	59	195	151	165	204
Banded_darter	BAD	4	0	0	1	0	1
Blackside_darter	BLD	1	9	1	0	4	0
Johnny_darter	JOD	0	6	3	0	2	0
Logperch	LOP	25	0	51	42	24	7
Slenderhead_darter	SLD	5	0	6	7	2	2
							
