year	Nhat	Rhat	etahat	deltahat
1985	404106	99766	1.075	1.019
1986	345247	70078	1.030	1.006
1987	293215	130682	1.133	1.058
1988	275807	163343	0.963	0.979
1989	339441	93111	1.111	1.030
1990	290035	150535	0.968	0.984
1991	338783	85313	1.114	1.028
1992	220131	110506	0.814	0.902
1993	253001	220645	1.224	1.194
1994	231912	94364	0.717	0.872
1995	175706	134730	0.880	0.906
1996	223029	120793	1.089	1.048
1997	318281	31410	1.315	1.029
1998	253196	186325	1.016	1.012
1999	322324	57199	0.971	0.995
2000	330591	79522	1.184	1.043
2001	299049	78541	1.000	1.000
