#Box 3.15.  Example of repeated measures split plot design.
#
year treat time cove area biomass
1980 PRE  1 1 1.51 13854
1980 PRE  1 2  .67  4091
1980 PRE  1 3 2.19 17195
1980 PRE  1 4  .63  5138
1980 PRE  1 5  .64  5148
1980 PRE  1 6  .45  2971
1981 PRE  2 1 1.60  6374
1981 PRE  2 3 1.97 21441
1981 PRE  2 4  .74 17830
1981 PRE  2 5  .66  3577
1981 PRE  2 6  .32  2678
1985 POST 1 1 1.83  3209
1985 POST 1 3 2.39 11556
1985 POST 1 4  .88  8132
1985 POST 1 5  .70  5094
1985 POST 1 6  .49  1973
1986 POST 2 1 1.83 10643
1986 POST 2 2  .43   479
1986 POST 2 3 2.39 11103
1986 POST 2 4  .88  2852
1986 POST 2 5  .70  2489
1986 POST 2 6  .49  8898
