markd clmark recapd clrecap timeoutd
6/28/00 70.3 6/24/03  76.0    1091
7/20/00 60.5 7/15/03  64.7    1090
8/3/00  65.6 7/18/02  67.9    714
8/3/00  61.2 6/25/03  65.2    1056
7/9/01  76.9 6/24/03  79.1    715
7/12/01 64.4 6/9/03   67.5    697
7/18/01 97.4 6/17/02  97.9    335
3/30/98 60.9 6/21/02  67.7    1544
6/27/00 62.5 6/19/03  69.1    1087
5/12/99 67.0 7/12/00  69.5    427
6/18/89 41.0 9/21/91  52.0    1187
8/28/91 60.4 12/24/94 70.5 	1945
7/14/86 19.3 8/28/91  42.0 	1869
6/29/90 40.5 2/6/93   49.8 	890
5/10/92 28.0 6/23/96  48.0 	1503
6/30/92 26.0 11/15/95 42.0 	1230
8/8/96  64.0 6/19/98  69.6 	680
